,idx,smiles
0,31,C=[C:2]1[C:3](=[CH2:4])[CH:5]2[O:6][CH:7]1[C:8](=[CH2:9])[C:10]2=[CH2:11].C=[CH:13][C:14]([CH3:15])=[O:16]>ClC(Cl)Cl.Oc1ccc(O)cc1.[Cl-].[Cl-].[Zn+2]>C1[CH2:2][C:3]2=[C:4](C[CH:13]1[C:14]([CH3:15])=[O:16])[CH:7]1[O:6][CH:5]2[C:10](=[CH2:11])[C:8]1=[CH2:9]
1,52,O=C=[N:20][C:21](=[O:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.[CH3:7][NH:8][c:9]1[cH:10][cH:11][cH:12][c:13]([NH2:14])[c:15]1[C:16]#[N:17]>C1COCCO1>O=C([NH:14][c:13]1[cH:12][cH:11][cH:10][c:9]([NH:8][CH3:7])[c:15]1[C:16]#[N:17])[NH:20][C:21](=[O:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1
2,64,CN=[C:33]=[O:34].[CH3:6][C:7]([CH3:8])([CH3:9])[O:10][C:11](=[O:12])[N:13]1[CH2:14][CH2:15][CH:16]([N:17]2[C:18](=[O:19])[NH:20][CH2:21][C@H:22]2[c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[CH2:29][CH2:30]1>C1CCOC1.[H-].[Na+]>CN[C:33]([N:20]1[C:18](=[O:19])[N:17]([CH:16]2[CH2:15][CH2:14][N:13]([C:11]([O:10][C:7]([CH3:6])([CH3:8])[CH3:9])=[O:12])[CH2:30][CH2:29]2)[C@H:22]([c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[CH2:21]1)=[O:34]
3,68,CC(C)(C)NC(=O)c1c[n:36](COCC[Si](C)(C)C)[c:22]2c1[n:24][c:25](Br)[c:20]([CH3:19])[n:21]2.[CH3:45][n:46]1[cH:47][c:48]([NH2:49])[cH:50][n:51]1>C[CH2:7][O:8][C:9](=O)[CH3:10].O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[O-][C:2]([CH3:1])([CH3:3])[CH3:4].[Pd].[Pd].c1c[cH:14][c:13]([CH3:12])[cH:18]c1.c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>C[Si](C)(C)[CH2:10][CH2:9][O:8][CH2:7][n:36]1[cH:4][c:2]([C:3](=O)N[C:13]([CH3:12])([CH3:14])[CH3:18])[c:1]2[c:22]1[n:21][c:20]([CH3:19])[c:25]([NH:49][c:48]1[cH:47][n:46]([CH3:45])[n:51][cH:50]1)[n:24]2
4,80,CCN=[C:4]=[S:5].[NH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>c1cc[cH:19][cH:14]c1>N([C:4](=[S:5])[NH:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH2:19][CH3:14]
5,201,O=C=[N:33][c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][n:8]2[cH:9][c:10](-[c:11]3[cH:12][cH:13][n:14][c:15]4[nH:16][cH:17][cH:18][c:19]34)[c:20](-[c:21]3[cH:22][cH:23][c:24]([NH2:25])[cH:26][cH:27]3)[n:28]2)[cH:29][cH:30]1>>O=C([NH:25][c:24]1[cH:23][cH:22][c:21](-[c:20]2[c:10](-[c:11]3[cH:12][cH:13][n:14][c:15]4[nH:16][cH:17][cH:18][c:19]34)[cH:9][n:8]([CH2:7][c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:30][cH:29]3)[n:28]2)[cH:27][cH:26]1)[NH:33][c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1
6,219,O=[C:2]1[CH2:3][CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21>c1ccccc1>O[CH:2]1[CH2:3][CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]21
7,244,Br[c:27]1[c:23]([CH2:22][OH:21])[cH:24][cH:25][s:26]1.[O-][S:2](=[O:1])[c:4]1[cH:5][cH:6][c:7]2[cH:8][c:9](-[c:10]3[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]3)[cH:17][cH:18][c:19]2[cH:20]1>[Na+]>O=[S:2](=[O:1])([c:4]1[cH:5][cH:6][c:7]2[cH:8][c:9](-[c:10]3[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]3)[cH:17][cH:18][c:19]2[cH:20]1)[c:27]1[c:23]([CH2:22][OH:21])[cH:24][cH:25][s:26]1
8,247,S=C=[N:8][C:6]([CH:4]([CH2:3][CH2:2][CH3:1])[CH3:5])=[O:7].[CH3:14][O:15][c:16]1[cH:17][c:18]2[n:19][cH:20][n:21][c:22]([O:23][c:24]3[cH:25][cH:26][c:27]([NH2:28])[cH:29][cH:30]3)[c:31]2[cH:32][c:33]1[O:34][CH3:35]>CCO.Cc1ccccc1>S=C([NH:8][C:6]([CH:4]([CH2:3][CH2:2][CH3:1])[CH3:5])=[O:7])[NH:28][c:27]1[cH:26][cH:25][c:24]([O:23][c:22]2[n:21][cH:20][n:19][c:18]3[cH:17][c:16]([O:15][CH3:14])[c:33]([O:34][CH3:35])[cH:32][c:31]32)[cH:30][cH:29]1
9,297,N#[C:24][CH:23]1[CH:19]([S:18][CH2:17][c:16]2[cH:15][cH:14][c:13]([O:12][CH3:11])[cH:27][cH:26]2)[CH2:20][O:21][CH2:22]1>C1CCOC1.CCOCC.[Al+3].[H-].[H-].[H-].[H-].[Li+]>N[CH2:24][C@H:23]1[C@@H:19]([S:18][CH2:17][c:16]2[cH:15][cH:14][c:13]([O:12][CH3:11])[cH:27][cH:26]2)[CH2:20][O:21][CH2:22]1
