31,"C=[C:2]1[CH:7]2[C:8]([C:10](=[CH2:11])[CH:5]([O:6]2)[C:3]1=[CH2:4])=[CH2:9].C=[CH:13][C:14](=[O:16])[CH3:15]>ClC(Cl)Cl.Oc1ccc(O)cc1.[Cl-].[Cl-].[Zn+2]>C1[CH:13]([C:14](=[O:16])[CH3:15])[CH2:2][C:3]2[CH:5]3[C:10](=[CH2:11])[C:8](=[CH2:9])[CH:7]([C:4]=2C1)[O:6]3"
52,"O=C=[N:3][C:4]([c:6]1[cH:11][cH:10][cH:9][cH:8][cH:7]1)=[O:5].[CH3:12][NH:13][c:14]1[c:20]([C:21]#[N:22])[c:18]([NH2:19])[cH:17][cH:16][cH:15]1>C1OCCOC1>O=[C:12]([NH:3][C:4]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[O:5])[NH:13][c:14]1[c:20]([C:21]#[N:22])[c:18]([NH:19]C)[cH:17][cH:16][cH:15]1"
64,"CN=[C:3]=[O:4].[CH3:5][C:6]([O:9][C:10]([N:12]1[CH2:29][CH2:28][CH:15]([N:16]2[C@H:21]([c:22]3[cH:27][cH:26][cH:25][cH:24][cH:23]3)[CH2:20][NH:19][C:17]2=[O:18])[CH2:14][CH2:13]1)=[O:11])([CH3:8])[CH3:7]>C1COCC1.[H-].[Na+]>CN[C:3](=[O:4])[N:19]1[CH2:20][C@@H:21]([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[N:16]([CH:15]2[CH2:28][CH2:29][N:12]([C:10](=[O:11])[O:9][C:6]([CH3:5])([CH3:7])[CH3:8])[CH2:13][CH2:14]2)[C:17]1=[O:18]"
68,"[CH3:1][C:2]([NH:5][C:6]([c:8]1[c:20]2[n:21][c:22]([c:24]([n:26][c:19]2[n:10]([CH2:11][O:12][CH2:13][CH2:14][Si:15]([CH3:18])([CH3:17])[CH3:16])[cH:9]1)[CH3:25])Br)=[O:7])([CH3:4])[CH3:3].[CH3:27][n:28]1[n:33][cH:32][c:30]([NH2:31])[cH:29]1>CCOC(C)=O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[O-]C(C)(C)C.[Pd].[Pd].c1ccc(C)cc1.c1ccc(P(c2c(-c3c4c(cccc4)ccc3P(c3ccccc3)c3ccccc3)c3c(cccc3)cc2)c2ccccc2)cc1>[CH3:16][Si:15]([CH2:14][CH2:13][O:12][CH2:11][n:10]1[c:19]2[n:26][c:24]([c:22]([n:21][c:20]2[c:8]([C:6]([NH:5][C:2]([CH3:4])([CH3:3])[CH3:1])=[O:7])[cH:9]1)[NH:31][c:30]1[cH:32][n:33][n:28]([CH3:27])[cH:29]1)[CH3:25])([CH3:18])[CH3:17]"
80,"[CH3:1][CH2:2][N:3]=C=S.[NH2:6][CH2:7][c:8]1[cH:13][cH:12][cH:11][cH:10][cH:9]1>c1ccccc1>[NH:3]([CH2:2][CH3:1])C([NH:6][CH2:7][c:8]1[cH:13][cH:12][cH:11][cH:10][cH:9]1)=S"
201,"O=C=[N:3][c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1.[CH3:10][O:11][c:12]1[cH:39][cH:38][c:15]([CH2:16][n:17]2[n:37][c:29](-[c:30]3[cH:36][cH:35][c:33]([NH2:34])[cH:32][cH:31]3)[c:19](-[c:20]3[c:28]4[c:24]([nH:25][cH:26][cH:27]4)[n:23][cH:22][cH:21]3)[cH:18]2)[cH:14][cH:13]1>>O=C([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[NH:34][c:33]1[cH:35][cH:36][c:30](-[c:29]2[n:37][n:17]([CH2:16][c:15]3[cH:14][cH:13][c:12]([O:11][CH3:10])[cH:39][cH:38]3)[cH:18][c:19]2-[c:20]2[c:28]3[c:24]([nH:25][cH:26][cH:27]3)[n:23][cH:22][cH:21]2)[cH:31][cH:32]1"
219,"O=[C:2]1[c:10]2[c:5]([cH:6][cH:7][cH:8][cH:9]2)[CH2:4][CH2:3]1>c1ccccc1>O[CH:2]1[c:10]2[c:5]([cH:6][cH:7][cH:8][cH:9]2)[CH2:4][CH2:3]1"
244,"Br[c:2]1[s:8][cH:7][cH:6][c:3]1[CH2:4][OH:5].[O-][S:10]([c:12]1[cH:28][c:27]2[c:15]([cH:16][c:17]([cH:25][cH:26]2)-[c:18]2[cH:24][cH:23][c:21]([F:22])[cH:20][cH:19]2)[cH:14][cH:13]1)=[O:11]>[Na+]>[O:11]=[S:10]([c:2]1[s:8][cH:7][cH:6][c:3]1[CH2:4][OH:5])([c:12]1[cH:28][c:27]2[c:15]([cH:16][c:17]([cH:25][cH:26]2)-[c:18]2[cH:24][cH:23][c:21]([F:22])[cH:20][cH:19]2)[cH:14][cH:13]1)=O"
247,"S=C=[N:3][C:4](=[O:10])[CH:5]([CH3:9])[CH2:6][CH2:7][CH3:8].[CH3:11][O:12][c:13]1[c:30]([O:31][CH3:32])[cH:29][c:28]2[c:15]([n:16][cH:17][n:18][c:19]2[O:20][c:21]2[cH:27][cH:26][c:24]([NH2:25])[cH:23][cH:22]2)[cH:14]1>CCO.Cc1ccccc1>S=C([NH:25][c:24]1[cH:23][cH:22][c:21]([O:20][c:19]2[c:28]3[c:15]([cH:14][c:13]([c:30]([cH:29]3)[O:31][CH3:32])[O:12][CH3:11])[n:16][cH:17][n:18]2)[cH:27][cH:26]1)[NH:3][C:4](=[O:10])[CH:5]([CH3:9])[CH2:6][CH2:7][CH3:8]"
297,"N#[C:2][CH:3]1[CH2:17][O:16][CH2:15][CH:4]1[S:5][CH2:6][c:7]1[cH:14][cH:13][c:10]([O:11][CH3:12])[cH:9][cH:8]1>C1COCC1.CCOCC.[Al+3].[H-].[H-].[H-].[H-].[Li+]>N[CH2:2][C@@H:3]1[CH2:17][O:16][CH2:15][C@@H:4]1[S:5][CH2:6][c:7]1[cH:14][cH:13][c:10]([O:11][CH3:12])[cH:9][cH:8]1"
